No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
1,Bus1 (USB1.1),-4.782239s,0X01,Sof,0X7B3,0X0A,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
2,Bus1 (USB1.1),157.727765ms,0X01,Sof,0X7B4,0X14,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
3,Bus1 (USB1.1),158.727745ms,0X01,Sof,0X7B5,0X0B,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
4,Bus1 (USB1.1),159.727725ms,0X01,Sof,0X7B6,0X09,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
5,Bus1 (USB1.1),160.727705ms,0X01,Sof,0X7B7,0X16,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
6,Bus1 (USB1.1),161.727685ms,0X01,Sof,0X7B8,0X06,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
7,Bus1 (USB1.1),162.727665ms,0X01,Sof,0X7B9,0X19,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
8,Bus1 (USB1.1),163.72773ms,0X01,Sof,0X7BA,0X1B,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
9,Bus1 (USB1.1),164.72771ms,0X01,Sof,0X7BB,0X04,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
10,Bus1 (USB1.1),165.72761ms,0X01,Sof,0X7BC,0X1A,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
11,Bus1 (USB1.1),166.72767ms,0X01,Sof,0X7BD,0X05,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
12,Bus1 (USB1.1),167.72757ms,0X01,Sof,0X7BE,0X07,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
13,Bus1 (USB1.1),168.72755ms,0X01,Sof,0X7BF,0X18,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
14,Bus1 (USB1.1),169.727695ms,0X01,Sof,0X7C0,0X04,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
15,Bus1 (USB1.1),170.72751ms,0X01,Sof,0X7C1,0X1B,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
16,Bus1 (USB1.1),171.727575ms,0X01,Sof,0X7C2,0X19,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
17,Bus1 (USB1.1),172.727555ms,0X01,Sof,0X7C3,0X06,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
18,Bus1 (USB1.1),173.72745ms,0X01,Sof,0X7C4,0X18,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
19,Bus1 (USB1.1),174.727515ms,0X01,Sof,0X7C5,0X07,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
20,Bus1 (USB1.1),175.72741ms,0X01,Sof,0X7C6,0X05,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
21,Bus1 (USB1.1),176.727395ms,0X01,Sof,0X7C7,0X1A,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
22,Bus1 (USB1.1),177.72746ms,0X01,Sof,0X7C8,0X0A,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
23,Bus1 (USB1.1),178.727355ms,0X01,Sof,0X7C9,0X15,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
24,Bus1 (USB1.1),179.72742ms,0X01,Sof,0X7CA,0X17,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
25,Bus1 (USB1.1),180.7274ms,0X01,Sof,0X7CB,0X08,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
26,Bus1 (USB1.1),181.727295ms,0X01,Sof,0X7CC,0X16,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
27,Bus1 (USB1.1),182.72736ms,0X01,Sof,0X7CD,0X09,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
28,Bus1 (USB1.1),183.727255ms,0X01,Sof,0X7CE,0X0B,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
29,Bus1 (USB1.1),184.72724ms,0X01,Sof,0X7CF,0X14,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
30,Bus1 (USB1.1),185.7273ms,0X01,Sof,0X7D0,0X03,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
31,Bus1 (USB1.1),186.7272ms,0X01,Sof,0X7D1,0X1C,Eop,
No.,Name,Time,Sync,Sof,Frame,CRC5,Eop,
